Expe     faulty     trusty     Strat     rho     resilience     ttC     sm     round     comment
20        48        30        aupe-merge        rho1        99.33125        201        100        201        RAS
20        48        100        aupe-merge        rho1        98.16875        201        100        201        RAS
20        48        global        aupe-merge        rho1        98.16875        201        100        201        RAS
21        50        0        aupe-merge        rho1        99.95625        201        100        201        RAS
21        50        1        aupe-merge        rho1        99.95625        201        100        201        RAS
21        50        5        aupe-merge        rho1        99.95625        201        100        201        RAS
21        50        10        aupe-merge        rho1        99.9375        201        100        201        RAS
21        50        20        aupe-merge        rho1        99.76875        201        100        201        RAS
21        50        30        aupe-merge        rho1        99.4        201        100        201        RAS
21        50        100        aupe-merge        rho1        98.38125        201        100        201        RAS
21        50        global        aupe-merge        rho1        98.38125        201        100        201        RAS
21        50        30        aupe-merge        rho0        96.5375        201        100        201        RAS
21        50        100        aupe-merge        rho0        95.04375        201        100        201        RAS
21        50        global        aupe-merge        rho0        95.04375        201        100        201        RAS
